_id,_type,topConceptOf,prefLabel,definition,scopeNote,broader,relevantDataType,relevantCodeList,relevantRiepr,relevantUnit
conceptscheme:systeem_eigenschappen,skos:ConceptScheme,,Systeem eigenschappen,,,,,conceptscheme:systeem_type,,
conceptscheme:systeem_type,skos:ConceptScheme,,Systeem types,,,,,,,
