_id,_type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,scopeNote,broader,relevantDataType,relevantCodeList,relevantriepr,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie,technischefiche,referentiewaardeType
conceptscheme:procedure_type,skos:ConceptScheme,,,Procedure types,,,Een typering van verschillende procedures.
riepr-procedure-type:verwerking,skos:Concept,conceptscheme:procedure_type,conceptscheme:procedure_type,Verwerking,,VERWERKING,De procedure verwerking door een installatie.,,,http://www.w3.org/ns/sosa/Procedure,,,,,,,,,,,,,,,,,
riepr-procedure-type:transport,skos:Concept,conceptscheme:procedure_type,conceptscheme:procedure_type,Transport,,TRANSPORT,De procedure transport tussen twee processen.,,,http://www.w3.org/ns/sosa/Procedure
riepr-procedure-type:emissie,skos:Concept,conceptscheme:procedure_type,conceptscheme:procedure_type,Emissie,,EMISSIE,De procedure emissie via een emissiepunt.,,,http://www.w3.org/ns/sosa/Procedure
riepr-procedure-type:verbruik,skos:Concept,conceptscheme:procedure_type,conceptscheme:procedure_type,Onttrekking,,ONTTREKKING,De procedure onttrekking via een onttrekingspunt.,,,http://www.w3.org/ns/sosa/Procedure
