_id,_type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,scopeNote,broader,relevantDataType,relevantCodeList,relevantLZS,relevantProperty,relevantQuantityKind,relevantUnit,applicableUnit,seeAlso,subject,hasProcedureForProperty,dc_type,actie,value,minValue,maxValue,operatie,technischefiche,referentiewaardeType
,,,,,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem eigenschap,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:medium,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem medium,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemtype,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemstatus,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem status,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:stalbezetting,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem stalbezetting,, ,,,,,,,,,,,,,,,,,,,,,
conceptscheme:norm-bandbreedte,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem normbandbreedte,Ranges,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:parameter-norm,skos:ConceptScheme,,,conceptschema luchtzuiveringssysteem parameter specificatie,,,"Het schema van indelingsklassen (1, 2, 3) zoals vastgelegd in de Vlaamse milieuregelgeving (VLAREM).",,,,,,,,,,,,,,,,,,,,
conceptscheme-alg:vlarem-klasse,skos:ConceptScheme,,,VLAREM indelingsklassen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:systeemopstelling,skos:ConceptScheme,,,conceptschema  luchtzuiveringssysteem opstelingen,,,,,,,,,,,,,,,,,,,,,,,
conceptscheme:dataleverancierstatus,skos:ConceptScheme,,,conceptschema dataleverancier status,,,,,,,,,,,,,,,,,,,,,,,
lzs-bandbreedte:_16,skos:Concept,conceptscheme:norm-bandbreedte,conceptscheme:norm-bandbreedte,Drukval afwijking naar boven > 50 Pa (S3 systeem),,,De drukval wijkt meer dan 50 Pa naar boven af van de operationele waarde die op de technische fiche vermeld staat.,> 50 Pa + waarde technische fiche (afwijking > 50 Pa),,,,lzs-type:s3,lzs-param:drukvaloverhetsysteem,,,,,,,Boven maximum grenswaarde,,,50,,som,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzs-param:drukvaloverhetsysteem,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Drukval over het systeem,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2|lzs-type:s3,,quantitykind:VaporPressure,http://qudt.org/vocab/unit/PA,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0329,lzs-medium:lucht,,,,,,,,,
lzs-param:geleidbaarheidvanhetwaswater,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Geleidbaarheid van het waswater,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2|lzs-type:lelysphere,,http://qudt.org/vocab/quantitykind/Conductivity,http://qudt.org/vocab/unit/MilliS-PER-CentiM,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0010,lzs-medium:waswater,procedure:WAC_I_A_011,,,,,,,,
lzs-param:spuiwaterproductie,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Spuiwaterproductie,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2|lzs-type:lelysphere,,quantitykind:Volume,http://qudt.org/vocab/unit/M3,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,lzs-medium:spuiwater,,,,,,,,,
lzs-param:biobedspuiwaterproductie,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Biobedspuiwaterproductie,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,,quantitykind:Volume,http://qudt.org/vocab/unit/M3,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0050,lzs-medium:spuiwater,,,,,,,,,
lzs-param:biobedspoelwaterproductie,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Biobedspoelwaterproductie,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s3,,quantitykind:Volume,http://qudt.org/vocab/unit/M3,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzs-medium:waswater,,,,,,,,,
lzs-param:stalbezetting,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Stalbezetting,,,,,,,conceptscheme:stalbezetting,lzs-type:s1|lzs-type:s2|lzs-type:s3,,,,,,lzs-medium:stal,,,,,,,,,
lzs-param:systeemstatus,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,SysteemStatus,,,,,,,conceptscheme:systeemstatus,lzs-type:s1|lzs-type:s2|lzs-type:s3,,,,,,lzs-medium:hetelektronischmonitoringssysteem,,,,,,,,,
lzs-param:waswaterdebiet,ssn:Property,conceptscheme:parameter,conceptscheme:parameter,Waswaterdebiet over het waspakket,,,,,,http://www.w3.org/2001/XMLSchema#decimal,,lzs-type:s1|lzs-type:s2|lzs-type:lelysphere,,quantitykind:VolumeFlowRate,http://qudt.org/vocab/unit/M3-PER-HR,,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/0053,lzs-medium:waswater,,,,,,,,,
