_id,_type,topConceptOf,prefLabel,altLabel,notation,definition,scopeNote,broader
conceptscheme:rubriek_type,skos:ConceptScheme,,Rubriek types,,,,,
riepr-rubriek-type:vlarem,skos:Concept,conceptscheme:rubriek_type,VLAREM,,vlarem,,,
