_id,_type,topConceptOf,inScheme,prefLabel,altLabel,notation,definition,scopeNote,broader,relevantDataType,seeAlso
conceptscheme:aangifte_status,skos:ConceptScheme,,,Aangifte status,,,,,,,
riepr-aangifte-status:concept,skos:Concept,conceptscheme:aangifte_status,conceptscheme:aangifte_status,Concept,,AANGIFTE_STATUS_CONCEPT,,,,http://www.w3.org/ns/adms#,http://purl.org/adms/status/UnderDevelopment
riepr-aangifte-status:gefaald,skos:Concept,conceptscheme:aangifte_status,conceptscheme:aangifte_status,Concept,,AANGIFTE_STATUS_GEFAALD,,,,,
riepr-aangifte-status:ingediend,skos:Concept,conceptscheme:aangifte_status,conceptscheme:aangifte_status,Concept,,AANGIFTE_STATUS_INGEDIEND,,,,http://www.w3.org/ns/adms#,http://purl.org/adms/status/Completed
riepr-aangifte-status:ingetrokken,skos:Concept,conceptscheme:aangifte_status,conceptscheme:aangifte_status,Concept,,AANGIFTE_STATUS_INGETROKKEN,,,,http://www.w3.org/ns/adms#,http://purl.org/adms/status/Withdrawn
