_id,_type,topConceptOf,inScheme,isPartOf,prefLabel,altLabel,notation,definition,scopeNote,broader,isOnzichtbaar
conceptscheme:uitwisselpunt_type,skos:ConceptScheme,,,conceptscheme:systeem_type,Installatie types,,,Een typering van verschillende soorten installaties.,,,
riepr-uitwisselpunt-type:uitwisselpunt,skos:Concept,conceptscheme:uitwisselpunt_type,conceptscheme:uitwisselpunt_type,,Uitwisselingspunt,,stookinstallatie,,,,
